1_audio,응? 벌써 정답을 맞혔다고? 설마 네가 낸 수수께끼 시였어?
2_audio,와, 이게 휴식을 즐기는 캐서린인가? 정말 달라 보여. 캐서린은 언제 어디서든 「별과 심연을 향해」라고 하는 줄 알았어
3_audio,전문가가 왔잖아…
4_audio,설마 소도 우리의 기운을 못 느끼는 건가?
5_audio,풍마룡 손에서 유적 하나를 빼앗아 온 셈이니까
6_audio,정말 스네즈나야스러운 잔인한 동요네…
7_audio,오예!
8_audio,그럼 주리아가 말한 아이에 대한 일들도… 다 지어낸 거야?
9_audio,소원 주문에 관한 건 물어볼 틈이 없네. 사람 목숨이 달린 일이라니까 이 일부터 해결하고 보자
10_audio,설마 방금 몰래 타르탈리아를 따라간 건가?
11_audio,어때? 죽지는 않겠지?
12_audio,우… 페이몬 화났어! 어쩐지 쿨하게 가더라니!
13_audio,맞아! 체조할 줄 아는 게 바로 강시야!
14_audio,야! 새 친구 앞에서 이렇게 망신 줄 거야?
15_audio,사실 밥 먹을 때부터 궁금했던 건데…
16_audio,흥, 캐러밴을 약탈한 나쁜 꽃게 녀석, 어딜 도망가려고!
17_audio,#응… 이해해. 언젠가 나랑 {NICKNAME}이(가) 헤어지는 날이 오면, 나도 적응이 안 될 거야…. 허공에 혼잣말을 할지도 모르지…
18_audio,다행히 아래로 떨어지지는 않았네, 정말 다행이야…
19_audio,어? 창문이 제대로 안 닫혔나 봐. 내가 들어가 볼게
20_audio,뜸 들이지 말고 이제 무슨 일인지 말해 볼래?
21_audio,우와, 엄청 큰 물방울이야…
22_audio,근데 사실은 아카데미아의 방법을 인정하지 않는 거지? 사막에 대한 미안한 마음도 있고…. 이건 그냥 문제를 회피하고 있는 거잖아
23_audio,인형이라고? 그걸 어떻게 안 거야?
24_audio,와, 엄청 멀리서 왔네? 우리 가게가 벌써 그렇게 유명해진 거야?
25_audio,아, 무슨 말인지 알겠어!
26_audio,나비아가 사주는 밥이니까 난 무조건 좋아. 고민할 필요도 없지!
27_audio,#{F#오빠가}{M#동생이} 너무 보고 싶어서 순간적으로 생긴 환상인가?
28_audio,「마르셀」!?
29_audio,우리도 도와줄게! 시노부의 노력을 봐서라도 이번 행사가 산으로 가게 둘 순 없지!
30_audio,좀 하는데~ 역시 여행자야!
31_audio,야란, 네가 증거를 숨긴 건 아니겠지?
32_audio,#네 {M#동생이}{F#오빠가} 너보다 먼저 깨어난 것 같은데, 얼마나 일찍 깼는지 모르는 거지?
33_audio,그게 「기분이 좋은」 거였구나
34_audio,맞아 맞아, 어제 그거 굉장했지? 아직도 그 맛이 느껴질 정도야!
